
*******************
Plotting of evolutionary algorithm with settings: 
*******************

1: Number of battles per war: 5
2: Number of soldiers per war: 40
3: Reployment fraction: 0
4: Strength reduction fraction: 1

5: Size of child pool: 30
6: Size of adult pool: 30
7: number of generations: 200
8: mutation rate: 1
9: crossover rate: 0.9
10: selection protocol: Full generational replacement
11: selection strategy: Sigma scaling
12: elitism: 2

*******************

0.3 0.2 0.1 0.225 0.175   
0.45 0.2 0.075 0.125 0.15   
0.45 0.25 0.1 0.1 0.1   
0.55 0.2 0.025 0.1 0.125   
0.675 0.125 0 0.075 0.125   
0.7 0.15 0 0.05 0.1   
0.8 0.125 0.025 0.025 0.025   
0.8 0.125 0.025 0.025 0.025   
0.875 0.05 0 0 0.075   
0.875 0.05 0.025 0 0.05   
0.875 0.1 0.025 0 0   
0.925 0.025 0 0 0.05   
0.925 0.05 0 0 0.025   
0.925 0.05 0 0 0.025   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0   
0.925 0.075 0 0 0  
